id,name,category,mealType,ingredients,allergens,instructions,servings,calories,protein,carbs,fat,prepTime,source
1,Seasonal Toast (Spring),breakfast,veg,"whole wheat bread,cottage cheese,cucumber","gluten,dairy","1. Toast bread to desired doneness. 2. Spread cottage cheese on toast. Warm cheese in microwave for 15 seconds if desired before spreading. 3. Place cucumber slices on top.",1 serving,130,11g,16g,2.5g,5 min,KCMH Cookbook
2,Seasonal Toast (Summer),breakfast,veg,"whole wheat bread,cottage cheese,blueberries,strawberries","gluten,dairy","1. Toast bread to desired doneness. 2. Spread cottage cheese on toast. Warm cheese in microwave for 15 seconds if desired before spreading. 3. Place blueberries or strawberries on top.",1 serving,150,11g,20g,2.5g,5 min,KCMH Cookbook
3,Seasonal Toast (Fall),breakfast,veg,"whole wheat bread,cottage cheese,peaches","gluten,dairy","1. Toast bread to desired doneness. 2. Spread cottage cheese on toast. Warm cheese in microwave for 15 seconds if desired before spreading. 3. Place sliced peaches on top.",1 serving,120,9g,15g,2g,5 min,KCMH Cookbook
4,Seasonal Toast (Winter),breakfast,veg,"whole wheat bread,cottage cheese,pears","gluten,dairy","1. Toast bread to desired doneness. 2. Spread cottage cheese on toast. Warm cheese in microwave for 15 seconds if desired before spreading. 3. Place sliced pears on top.",1 serving,150,11g,21g,2.5g,5 min,KCMH Cookbook
5,Breakfast Sweet Potato,breakfast,veg,"sweet potato,plain yogurt,maple syrup,cinnamon,walnuts","dairy,tree nuts","1. Using a fork poke holes in sweet potato. 2. Microwave on high for 10 minutes or until soft. 3. Carefully cut sweet potato in half and scoop pulp into a bowl. 4. Mash sweet potato with a fork. Mix in yogurt syrup cinnamon and nuts. 5. Add any other desired toppings.",1 serving,260,10g,35g,10g,15 min,KCMH Cookbook
6,Microwave French Toast,breakfast,veg,"whole wheat bread,egg,skim milk,cinnamon,maple syrup","gluten,eggs,dairy","1. Crack egg into a microwave-safe mug. Add milk and cinnamon. 2. Whisk together until blended. 3. Dip bread in egg mixture coating both sides. 4. Place bread in mug and microwave for 60-90 seconds until set. 5. Top with maple syrup.",1 serving,180,10g,28g,4g,5 min,KCMH Cookbook
7,Microwave Veggie Stratta,breakfast,veg,"whole wheat bread,egg,skim milk,bell pepper,spinach,shredded cheese,salt,pepper","gluten,eggs,dairy","1. Spray microwave-safe bowl with nonstick spray. 2. Add diced peppers and spinach. 3. Crack eggs into bowl and add milk salt and pepper. Whisk. 4. Tear bread into pieces and add to bowl. 5. Top with shredded cheese. 6. Microwave for 2-3 minutes until eggs are set.",2 servings,220,16g,22g,7g,10 min,KCMH Cookbook
8,Blueberry Banana Oats,breakfast,vegan,"quick cook oats,banana,blueberries,honey,cinnamon",,1. Prepare oats according to package directions. 2. Slice banana and add to oats along with blueberries. 3. Drizzle with honey and sprinkle with cinnamon. 4. Stir to combine and serve warm.,1 serving,290,7g,61g,3g,10 min,KCMH Cookbook
9,Batch Breakfast Burritos,breakfast,non-veg,"whole wheat tortilla,egg,bacon,bell pepper,shredded cheese,salsa","gluten,eggs,dairy","1. Cook bacon in a fry pan until crispy. Remove and crumble. 2. Saute diced peppers in pan. 3. Whisk eggs and add to pan scrambling until cooked through. 4. Add bacon back to pan and mix. 5. Warm tortillas and fill with egg mixture. Top with cheese and salsa.",4 servings,310,18g,30g,12g,20 min,KCMH Cookbook
10,Batch Seasonal Frittata,breakfast,veg,"egg,skim milk,bell pepper,spinach,shredded cheese,salt,pepper,olive oil","eggs,dairy","1. Preheat oven to 375F. 2. Heat olive oil in oven-safe pan. Saute diced peppers and spinach. 3. Whisk eggs with milk salt and pepper. Pour over vegetables. 4. Top with shredded cheese. 5. Bake 20-25 minutes until eggs are set and top is golden.",6 servings,190,15g,5g,13g,35 min,KCMH Cookbook
